Номер кейса,Номер задачи,ID клиента,Пол,Канал обращения,Ответственный отдел,Категория услуг,Услуга,Программа,Дата и время создания (МСК),Что делали,Страна,Город,"""Технический кейс"""
4388,4388.6269,12639,Мужской,Чат,Первая Линия,Путешествия,Регистрация на рейс,VIP,02.07.2024 10:52,Инфо,Россия,Москва,0
10374,10374.12372,12639,Мужской,Мессенджер,Путешествия,Путешествия,Поезда,VIP,04.08.2024 21:32,Подборка,Россия,Москва,0
11017,11017.13080,12639,Мужской,Мессенджер,Путешествия,Путешествия,Поезда,VIP,08.08.2024 10:53,Инфо,Россия,Москва,0
26627,26627.30656,12639,,Мессенджер,Лайфстайл,Мероприятия,Представления,VIP,01.11.2024 19:49,,Россия,Москва,0
26627,26627.30658,12639,,Мессенджер,Лайфстайл,Мероприятия,Представления,VIP,01.11.2024 19:52,,Россия,Москва,0
4877,4877.6546,12637,Женский,Чат,Лайфстайл,Гастро,Ресторан,VIP,04.07.2024 20:23,Бронирование/покупка,Россия,Москва,0
5228,5228.6960,12637,Женский,Мессенджер,Путешествия,Размещение,Отели,VIP,08.07.2024 17:42,"Инфо, Бронирование/покупка",Россия,Москва,0
6081,6081.7858,12637,Женский,Чат,Лайфстайл,Гастро,Ресторан,VIP,12.07.2024 13:49,Бронирование/покупка,Россия,Москва,0
6100,6100.7881,12637,Женский,Мессенджер,Лайфстайл,Сервисы,Бьюти,VIP,12.07.2024 15:38,Инфо,Россия,Москва,0
6294,6294.8079,12637,Женский,Мессенджер,Первая Линия,Гастро,Ресторан,VIP,13.07.2024 17:50,Снял запрос,Россия,Москва,0
6416,6416.8211,12637,Женский,Мессенджер,Лайфстайл,Мероприятия,Мероприятия,VIP,14.07.2024 16:16,Снял запрос,Россия,Москва,0
6889,6889.8655,12637,Женский,Мессенджер,Лайфстайл,Информационная поддержка,Информационный запрос,VIP,16.07.2024 22:47,Инфо,Россия,Москва,0
7314,7314.9090,12637,Женский,Мессенджер,Путешествия,Путешествия,Лодки без проживания,VIP,18.07.2024 20:42,Инфо,Россия,Москва,0
7935,7935.9729,12637,Женский,Мессенджер,Лайфстайл,Гастро,Ресторан,VIP,22.07.2024 16:06,Бронирование/покупка,Россия,Москва,0
8167,8167.9981,12637,Женский,Чат,Лайфстайл,Гастро,Ресторан,VIP,23.07.2024 21:04,Бронирование/покупка,Россия,Москва,0
8681,8681.10581,12637,Женский,Мессенджер,Лайфстайл,Гастро,Ресторан,VIP,26.07.2024 16:09,Бронирование/покупка,Россия,Москва,0
10485,10485.12508,12637,Женский,Мессенджер,Лайфстайл,Гастро,Ресторан,VIP,05.08.2024 15:07,"Инфо, Бронирование/покупка",Россия,Москва,0
10487,10487.12515,12637,Женский,Мессенджер,Лайфстайл,Гастро,Ресторан,VIP,05.08.2024 15:14,Бронирование/покупка,Россия,Москва,0
10526,10526.12566,12637,Женский,Мессенджер,Лайфстайл,Гастро,Кейтеринг,VIP,05.08.2024 19:33,Инфо,Россия,Москва,0
10526,10526.12567,12637,Женский,Мессенджер,Лайфстайл,Мероприятия,Мероприятия,VIP,05.08.2024 19:33,"Инфо, Подборка, Снял запрос",Россия,Москва,0
10818,10818.12881,12637,Женский,Мессенджер,Лайфстайл,Гастро,Ресторан,VIP,07.08.2024 12:07,Бронирование/покупка,Россия,Москва,0
15182,15182.17776,12637,,Мессенджер,Путешествия,Размещение,Размещение,VIP,02.09.2024 10:53,Бронирование/покупка,Россия,Москва,0
16959,16959.19864,12637,,Мессенджер,Лайфстайл,Гастро,Ресторан,VIP,12.09.2024 21:05,Инфо,Россия,Москва,0
17531,17531.20405,12637,,Мессенджер,Путешествия,Размещение,Отели,VIP,15.09.2024 21:09,Инфо,Россия,Москва,0
17531,17531.20406,12637,,Мессенджер,Путешествия,Путешествия,Трансфер,VIP,15.09.2024 21:09,"Инфо, Бронирование/покупка",Россия,Москва,0
17710,17710.20618,12637,,Мессенджер,Лайфстайл,Гастро,Ресторан,VIP,16.09.2024 22:51,Бронирование/покупка,Россия,Москва,0
17869,17869.20801,12637,,Мессенджер,Лайфстайл,Гастро,Ресторан,VIP,17.09.2024 18:53,Бронирование/покупка,Россия,Москва,0
19056,19056.22134,12637,,Мессенджер,Путешествия,Путешествия,Трансфер,VIP,23.09.2024 20:57,Подборка,Россия,Москва,0
19143,19143.22221,12637,,Мессенджер,Лайфстайл,Сервисы,Подбор персонала,VIP,24.09.2024 11:54,Инфо,Россия,Москва,0
20534,20534.23739,12637,,Мессенджер,Лайфстайл,Сервисы,Бьюти,VIP,01.10.2024 17:32,Бронирование/покупка,Россия,Москва,0
20534,20534.23748,12637,,Мессенджер,Лайфстайл,Сервисы,Бьюти,VIP,01.10.2024 18:05,Бронирование/покупка,Россия,Москва,0
23240,23240.26738,12637,,Мессенджер,Первая Линия,Размещение,Отели,VIP,15.10.2024 23:23,Бронирование/покупка,Россия,Москва,0
5228,5228.29985,12637,,Мессенджер,Путешествия,Путешествия,Трансфер,VIP,30.10.2024 10:17,Инфо,Россия,Москва,0
5228,5228.29986,12637,,Мессенджер,Путешествия,Путешествия,Трансфер,VIP,30.10.2024 10:17,Инфо,Россия,Москва,0
5228,5228.29987,12637,,Мессенджер,Путешествия,Путешествия,Дополнительные услуги,VIP,30.10.2024 10:27,Инфо,Россия,Москва,0
5228,5228.30671,12637,,Мессенджер,Путешествия,Путешествия,Визовая поддержка,VIP,01.11.2024 20:30,Инфо,Россия,Москва,0
5228,5228.30672,12637,,Мессенджер,Путешествия,Путешествия,Визовая поддержка,VIP,01.11.2024 20:30,Инфо,Россия,Москва,0
5228,5228.33556,12637,,Мессенджер,Путешествия,Информационная поддержка,Предложения от КС,VIP,14.11.2024 19:28,Инфо,Россия,Москва,0
31653,31653.1,12637,,Мессенджер,Путешествия,Размещение,Отели,VIP,26.11.2024 09:03,Подборка,Россия,Москва,0
32171,32171.1,12637,,Мессенджер,Лайфстайл,Товары,Товары,VIP,28.11.2024 13:31,Инфо,Россия,Москва,0
32687,32687.1,12637,,Мессенджер,Лайфстайл,Гастро,Ресторан,VIP,30.11.2024 18:54,"Инфо, Подборка",Россия,Москва,0
27650,27650.31754,12636,,Мессенджер,Первая Линия,Информационная поддержка,Редирект,VIP,06.11.2024 21:05,Инфо,Не указан,Не указан,0
27650,27650.31862,12636,,Мессенджер,Первая Линия,Информационная поддержка,Информационный запрос,VIP,07.11.2024 12:12,Инфо,Не указан,Не указан,0
4369,4369.5921,12634,,Чат,Путешествия,Путешествия,Гиды и Экскурсии,VIP,26.06.2024 18:47,"Инфо, Подборка",Не указан,Не указан,0
9989,9989.11928,12634,Не указан,Мессенджер,Первая Линия,Информационная поддержка,Консьерж программа,VIP,02.08.2024 14:26,Инфо,Не указан,Не указан,1
12167,12167.14406,12634,Не указан,Мессенджер,Путешествия,Размещение,Отели,VIP,15.08.2024 11:41,Подборка,Не указан,Не указан,0
12328,12328.14586,12634,Не указан,Мессенджер,Путешествия,Информационная поддержка,Информационный запрос,VIP,16.08.2024 09:26,Инфо,Не указан,Не указан,0
16571,16571.19391,12634,,Мессенджер,Путешествия,Путешествия,Дополнительные услуги,VIP,10.09.2024 19:59,"Инфо, Бронирование/покупка",Россия,Москва,0
17725,17725.20632,12634,,Мессенджер,Путешествия,Путешествия,Регистрация на рейс,VIP,17.09.2024 07:03,Инфо,Россия,Москва,0
18570,18570.21596,12634,,Мессенджер,Путешествия,Путешествия,Регистрация на рейс,VIP,20.09.2024 21:31,Бронирование/покупка,Россия,Москва,0
22712,22712.26165,12634,,Мессенджер,Лайфстайл,Товары,Товары,VIP,13.10.2024 07:05,"Инфо, Подборка",Россия,Москва,0
23241,23241.26739,12634,,Мессенджер,Первая Линия,Мероприятия,Афиша,VIP,15.10.2024 23:41,Подборка,Россия,Москва,0
24180,24180.27852,12634,,Мессенджер,Путешествия,Путешествия,Авиа,VIP,20.10.2024 22:53,Подборка,Россия,Москва,0
27510,27510.31609,12634,,Мессенджер,Первая Линия,Информационная поддержка,Информационный запрос,VIP,06.11.2024 05:00,Инфо,Россия,Москва,0
27511,27511.31610,12634,,Мессенджер,Лайфстайл,Гастро,Ресторан,VIP,06.11.2024 05:03,Инфо,Россия,Москва,0
27694,27694.31805,12634,,Мессенджер,Первая Линия,Путешествия,Авиа,VIP,07.11.2024 05:39,Подборка,Россия,Москва,0
27694,27694.33293,12634,,Мессенджер,Первая Линия,Путешествия,Авиа,VIP,13.11.2024 17:44,"Подборка, Бронирование/покупка",Россия,Москва,0
27694,27694.35513,12634,,Мессенджер,Первая Линия,Путешествия,Авиа,VIP,23.11.2024 16:34,"Подборка, Бронирование/покупка",Россия,Москва,0
32546,32546.1,12634,,Мессенджер,Путешествия,Путешествия,Авиа,VIP,29.11.2024 20:47,Подборка,Россия,Москва,0
27694,27694.1,12634,,Мессенджер,Первая Линия,Путешествия,Авиа,VIP,30.11.2024 11:41,"Инфо, Подборка",Россия,Москва,0
4550,4550.6149,12633,,Чат,Путешествия,Путешествия,Трансфер,,29.06.2024 19:55,Инфо,Россия,Москва,0
30458,30458.34816,12632,,Мессенджер,Лайфстайл,Товары,Авто,VIP,20.11.2024 19:33,"Инфо, Подборка",Россия,Ростов-на-Дону,0
4361,4361.5914,12632,,Мессенджер,Первая Линия,Информационная поддержка,Консьерж программа,,26.06.2024 17:40,Инфо,Россия,Ростов-на-Дону,1
4346,4346.5900,12631,,Мессенджер,Первая Линия,Информационная поддержка,Консьерж программа,,26.06.2024 15:22,Инфо,Россия,Москва,1
4343,4343.5897,12630,,Мессенджер,Первая Линия,Информационная поддержка,Консьерж программа,,26.06.2024 14:54,Инфо,Россия,Москва,1
4357,4357.5909,12630,,Мессенджер,Путешествия,Путешествия,Авиа,,26.06.2024 16:42,Подборка,Россия,Москва,0
30379,30379.34728,12628,,Мессенджер,Лайфстайл,Мероприятия,Представления,VIP,20.11.2024 13:42,Инфо,Россия,Челябинск,0
29570,29570.33878,12628,,Мессенджер,Лайфстайл,Мероприятия,Афиша,VIP,16.11.2024 12:28,Подборка,Россия,Челябинск,0
22230,22230.27101,12628,,Мессенджер,Лайфстайл,Товары,Товары,Базовый,17.10.2024 15:44,"Инфо, Подборка",Россия,Челябинск,0
22230,22230.25626,12628,,Мессенджер,Лайфстайл,Товары,Товары,Базовый,10.10.2024 16:50,"Инфо, Подборка, Передано партнеру",Россия,Челябинск,0
10607,10607.17254,12628,Женский,Мессенджер,Лайфстайл,Мероприятия,Спорт мероприятия,Базовый,30.08.2024 10:55,Инфо,Россия,Челябинск,0
10607,10607.17255,12628,Женский,Мессенджер,Лайфстайл,Мероприятия,Афиша,Базовый,30.08.2024 10:55,Подборка,Россия,Челябинск,0
10607,10607.12663,12628,Женский,Мессенджер,Лайфстайл,Мероприятия,Спорт мероприятия,Базовый,06.08.2024 10:25,Инфо,Россия,Челябинск,0
8021,8021.9812,12628,Женский,Чат,Лайфстайл,Гастро,Алкоголь,Базовый,22.07.2024 21:32,Инфо,Россия,Челябинск,0
4350,4350.5904,12628,,Мессенджер,Путешествия,Размещение,Отели,Базовый,26.06.2024 15:40,Подборка,Россия,Челябинск,0
4339,4339.5892,12628,,Мессенджер,Первая Линия,Информационная поддержка,Консьерж программа,Базовый,26.06.2024 13:14,Инфо,Россия,Челябинск,1
21976,21976.25337,12624,,Телефон,Первая Линия,Гастро,Ресторан,,09.10.2024 15:05,Бронирование/покупка,Россия,Москва,0
26124,26124.30059,12624,,Мессенджер,Лайфстайл,Мероприятия,Представления,,30.10.2024 14:19,Инфо,Россия,Москва,0
26124,26124.30060,12624,,Мессенджер,Лайфстайл,Мероприятия,Представления,,30.10.2024 14:19,Инфо,Россия,Москва,0
4334,4334.5885,12623,,Чат,Лайфстайл,Мероприятия,Мероприятия,,26.06.2024 11:52,Инфо,Россия,Москва,0
4334,4334.5886,12623,,Чат,Лайфстайл,Размещение,Отели,,26.06.2024 12:00,Инфо,Россия,Москва,0
4334,4334.5919,12623,,Чат,Лайфстайл,Гастро,Ресторан,,26.06.2024 18:35,Подборка,Россия,Москва,0
25217,25217.29021,12623,,Мессенджер,Лайфстайл,Товары,Электроника и техника,,25.10.2024 21:14,"Инфо, Подборка",Россия,Москва,0
4329,4329.5880,12622,,Чат,Первая Линия,Информационная поддержка,Консьерж программа,,26.06.2024 11:13,Инфо,Россия,Москва,1
23236,23236.26733,12621,,Мессенджер,Первая Линия,Размещение,Отели,Базовый,15.10.2024 22:49,Инфо,Россия,Воронеж,0
10285,10285.12263,12621,Женский,Мессенджер,Лайфстайл,Товары,Продукты,Базовый,04.08.2024 11:23,Бронирование/покупка,Россия,Воронеж,0
4610,4610.6230,12621,Женский,Мессенджер,Путешествия,Размещение,Пакетный тур,Базовый,01.07.2024 15:55,Инфо,Россия,Воронеж,0
4558,4558.6158,12621,,Мессенджер,Путешествия,Размещение,Пакетный тур,Базовый,29.06.2024 22:39,Инфо,Россия,Воронеж,0
4558,4558.6159,12621,,Мессенджер,Путешествия,Размещение,Пакетный тур,Базовый,29.06.2024 22:39,Инфо,Россия,Воронеж,0
4534,4534.6132,12621,,Мессенджер,Путешествия,Путешествия,Авиа,Базовый,29.06.2024 14:46,"Инфо, Подборка",Россия,Воронеж,0
4534,4534.6131,12621,,Мессенджер,Путешествия,Размещение,Размещение,Базовый,29.06.2024 14:40,"Инфо, Подборка",Россия,Воронеж,0
4324,4324.5876,12621,,Мессенджер,Путешествия,Путешествия,Гиды и Экскурсии,Базовый,26.06.2024 11:06,"Инфо, Подборка",Россия,Воронеж,0
4324,4324.5874,12621,,Мессенджер,Путешествия,Размещение,Отели,Базовый,26.06.2024 11:05,"Инфо, Подборка",Россия,Воронеж,0
4324,4324.5875,12621,,Мессенджер,Путешествия,Путешествия,Авиа,Базовый,26.06.2024 11:05,"Инфо, Подборка",Россия,Воронеж,0
4327,4327.5879,12620,,Мессенджер,Лайфстайл,Информационная поддержка,Информационный запрос,,26.06.2024 11:12,"Инфо, Подборка",Россия,Москва,0
4323,4323.5873,12619,,Чат,Первая Линия,Информационная поддержка,Консьерж программа,VIP,26.06.2024 11:04,Инфо,Россия,Омск,1
4325,4325.5877,12619,,Чат,Лайфстайл,Товары,Товары,VIP,26.06.2024 11:08,Инфо,Россия,Омск,0
4325,4325.5894,12619,,Чат,Лайфстайл,Товары,Товары,VIP,26.06.2024 13:30,Инфо,Россия,Омск,0
12638,12638.14950,12619,Мужской,Мессенджер,Лайфстайл,Товары,Товары,VIP,17.08.2024 21:50,Инфо,Россия,Омск,0
4320,4320.5868,12616,,Мессенджер,Первая Линия,Информационная поддержка,Консьерж программа,,26.06.2024 09:32,Инфо,Россия,Чебоксары,1
4375,4375.5930,12616,,Мессенджер,Первая Линия,Сервисы,Бесплатная юридическая консультация,,26.06.2024 20:26,Передано партнеру,Россия,Чебоксары,0
4322,4322.5872,12614,,Чат,Лайфстайл,Товары,Товары,,26.06.2024 10:16,Снял запрос,Не указан,Не указан,0
17922,17922.20874,12614,,Мессенджер,Первая Линия,Информационная поддержка,Консьерж программа,,18.09.2024 06:03,Инфо,Россия,Владивосток,1
21645,21645.24971,12614,,Мессенджер,Первая Линия,Информационная поддержка,Редирект,,08.10.2024 07:17,Инфо,Россия,Владивосток,0
4290,4290.5833,12613,,Мессенджер,Первая Линия,Информационная поддержка,Консьерж программа,,25.06.2024 17:18,Инфо,Россия,Москва,1
4288,4288.5832,12612,,Мессенджер,Первая Линия,Информационная поддержка,Консьерж программа,VIP,25.06.2024 17:13,Инфо,Россия,Москва,1
6846,6846.8612,12612,Мужской,Мессенджер,Лайфстайл,Информационная поддержка,Информационный запрос,VIP,16.07.2024 19:20,Инфо,Россия,Москва,0
4268,4268.5809,12610,,Мессенджер,Первая Линия,Информационная поддержка,Консьерж программа,,25.06.2024 13:11,Инфо,Россия,Иваново,1
4267,4267.5808,12609,,Мессенджер,Путешествия,Путешествия,Авиа,VIP,25.06.2024 12:54,"Инфо, Подборка, Бронирование/покупка",Россия,Москва,0
4370,4370.5922,12609,,Мессенджер,Первая Линия,Информационная поддержка,Консьерж программа,VIP,26.06.2024 19:14,Инфо,Россия,Москва,1
5540,5540.7285,12609,Женский,Мессенджер,Лайфстайл,Мероприятия,Афиша,VIP,10.07.2024 10:25,Подборка,Россия,Москва,0
5540,5540.7455,12609,Женский,Мессенджер,Лайфстайл,Мероприятия,Афиша,VIP,10.07.2024 17:55,Подборка,Россия,Москва,0
11587,11587.13758,12609,Женский,Телефон,Лайфстайл,Мероприятия,Представления,VIP,12.08.2024 10:43,"Инфо, Бронирование/покупка",Россия,Москва,0
4267,4267.20022,12609,,Мессенджер,Путешествия,Путешествия,Авиа,VIP,13.09.2024 18:29,"Инфо, Подборка",Россия,Москва,0
20868,20868.24130,12609,,Телефон,Путешествия,Размещение,Отели,VIP,03.10.2024 14:20,Инфо,Россия,Москва,0
20868,20868.24131,12609,,Телефон,Путешествия,Путешествия,Авиа,VIP,03.10.2024 14:20,Инфо,Россия,Москва,0
4261,4261.5803,12607,,Мессенджер,Первая Линия,Информационная поддержка,Консьерж программа,,25.06.2024 12:30,Инфо,Россия,Санкт-Петербург,1
4263,4263.5805,12607,,Мессенджер,Путешествия,Путешествия,Гиды и Экскурсии,,25.06.2024 12:39,Бронирование/покупка,Россия,Санкт-Петербург,0
4260,4260.5801,12606,,Мессенджер,Первая Линия,Информационная поддержка,Консьерж программа,VIP,25.06.2024 12:21,Инфо,Россия,Санкт-Петербург,1
8734,8734.10633,12606,Мужской,Телефон,Путешествия,Путешествия,Бизнес зал,VIP,26.07.2024 19:14,Инфо,Россия,Санкт-Петербург,0
4256,4256.5796,12605,,Мессенджер,Первая Линия,Информационная поддержка,Консьерж программа,,25.06.2024 11:42,Инфо,Россия,Тольятти,1
4258,4258.5800,12604,,Мессенджер,Первая Линия,Информационная поддержка,Консьерж программа,,25.06.2024 12:03,Инфо,Россия,Нижний Новгород,1
4246,4246.5788,12601,,Мессенджер,Первая Линия,Информационная поддержка,Консьерж программа,,25.06.2024 10:15,Инфо,Россия,Ростов-на-Дону,1
4255,4255.5795,12601,,Мессенджер,Путешествия,Путешествия,Поезда,,25.06.2024 11:15,Подборка,Россия,Ростов-на-Дону,0
4255,4255.5896,12601,,Мессенджер,Путешествия,Путешествия,Поезда,,26.06.2024 14:32,"Подборка, Бронирование/покупка",Россия,Ростов-на-Дону,0
4219,4219.5763,12600,,Мессенджер,Первая Линия,Информационная поддержка,Консьерж программа,,24.06.2024 20:06,Инфо,Россия,Самара,1
4210,4210.5747,12598,,Мессенджер,Первая Линия,Информационная поддержка,Консьерж программа,,24.06.2024 18:15,Инфо,Россия,Москва,1
4212,4212.5749,12598,,Мессенджер,Лайфстайл,Сервисы,Страхование,,24.06.2024 18:26,Бронирование/покупка,Россия,Москва,0
4201,4201.5741,12597,,Мессенджер,Первая Линия,Информационная поддержка,Консьерж программа,Базовый,24.06.2024 17:04,Инфо,Россия,Мурманск,1
4204,4204.5743,12597,,Мессенджер,Лайфстайл,Сервисы,Образование,Базовый,24.06.2024 17:17,Инфо,Россия,Мурманск,0
11349,11349.13447,12597,Женский,Мессенджер,Лайфстайл,Гастро,Алкоголь,Базовый,10.08.2024 00:56,Инфо,Россия,Мурманск,0
11349,11349.13644,12597,Женский,Мессенджер,Лайфстайл,Гастро,Алкоголь,Базовый,11.08.2024 12:05,Инфо,Россия,Мурманск,0
11349,11349.13645,12597,Женский,Мессенджер,Лайфстайл,Гастро,Алкоголь,Базовый,11.08.2024 12:09,Инфо,Россия,Мурманск,0
11349,11349.13646,12597,Женский,Мессенджер,Лайфстайл,Гастро,Алкоголь,Базовый,11.08.2024 12:09,Инфо,Россия,Мурманск,0
11349,11349.13753,12597,Женский,Мессенджер,Лайфстайл,Гастро,Алкоголь,Базовый,12.08.2024 09:50,Инфо,Россия,Мурманск,0
22107,22107.25470,12597,,Мессенджер,Лайфстайл,Гастро,Банкет,Базовый,10.10.2024 07:04,"Инфо, Подборка",Россия,Мурманск,0
22107,22107.25519,12597,,Мессенджер,Лайфстайл,Мероприятия,Идеи празднования,Базовый,10.10.2024 11:36,Подборка,Россия,Мурманск,0
23763,23763.27363,12597,,Мессенджер,Первая Линия,Технические вопросы,Клиент не предоставил детали,Базовый,18.10.2024 16:12,Инфо,Россия,Мурманск,0
24483,24483.28202,12597,,Мессенджер,Лайфстайл,Сервисы,Медицина,Базовый,22.10.2024 15:11,Подборка,Россия,Мурманск,0
5062,5062.6781,12596,Мужской,Телефон,Первая Линия,Информационная поддержка,Консьерж программа,VIP,07.07.2024 14:33,Инфо,Россия,Чайковский,1
4196,4196.5738,12595,,Мессенджер,Первая Линия,Информационная поддержка,Консьерж программа,Базовый,24.06.2024 15:40,Инфо,Россия,Череповец,1
4938,4938.6612,12595,Женский,Мессенджер,Путешествия,Путешествия,Авиа,Базовый,05.07.2024 16:38,"Инфо, Бронирование/покупка",Россия,Череповец,0
4938,4938.6642,12595,Женский,Мессенджер,Путешествия,Путешествия,Поезда,Базовый,05.07.2024 22:20,"Инфо, Бронирование/покупка",Россия,Череповец,0
4996,4996.6673,12595,Женский,Телефон,Путешествия,Путешествия,Поезда,Базовый,06.07.2024 12:47,"Инфо, Бронирование/покупка",Россия,Череповец,0
4996,4996.6674,12595,Женский,Телефон,Путешествия,Путешествия,Авиа,Базовый,06.07.2024 12:49,Бронирование/покупка,Россия,Череповец,0
4996,4996.6686,12595,Женский,Телефон,Путешествия,Путешествия,Достопримечательности,Базовый,06.07.2024 13:52,"Инфо, Подборка",Россия,Череповец,0
5036,5036.6735,12595,Женский,Мессенджер,Первая Линия,Путешествия,Бизнес зал,Базовый,06.07.2024 22:37,Инфо,Россия,Череповец,0
5048,5048.6756,12595,Женский,Мессенджер,Путешествия,Размещение,Размещение,Базовый,07.07.2024 10:54,"Подборка, Бронирование/покупка",Россия,Череповец,0
5090,5090.6811,12595,Женский,Мессенджер,Лайфстайл,Мероприятия,Афиша,Базовый,07.07.2024 21:19,Подборка,Россия,Череповец,0
5092,5092.6820,12595,Женский,Мессенджер,Путешествия,Путешествия,Гиды и Экскурсии,Базовый,07.07.2024 21:46,Подборка,Россия,Череповец,0
5092,5092.6863,12595,Женский,Мессенджер,Путешествия,Размещение,Отели,Базовый,08.07.2024 11:43,Бронирование/покупка,Россия,Череповец,0
11409,11409.13524,12595,Женский,Мессенджер,Лайфстайл,Мероприятия,Афиша,Базовый,10.08.2024 15:20,Подборка,Россия,Череповец,0
11409,11409.13531,12595,Женский,Мессенджер,Лайфстайл,Путешествия,Достопримечательности,Базовый,10.08.2024 16:17,"Инфо, Подборка",Россия,Череповец,0
12012,12012.14246,12595,Женский,Мессенджер,Первая Линия,Информационная поддержка,Информационный запрос,Базовый,14.08.2024 13:25,Инфо,Россия,Череповец,0
14967,14967.17532,12595,Женский,Мессенджер,Путешествия,Путешествия,Авиа,Базовый,31.08.2024 19:21,Подборка,Россия,Череповец,0
14967,14967.17533,12595,Женский,Мессенджер,Путешествия,Путешествия,Авиа,Базовый,31.08.2024 19:22,Подборка,Россия,Череповец,0
18175,18175.21136,12595,,Мессенджер,Первая Линия,Информационная поддержка,Информационный запрос,Базовый,19.09.2024 07:47,Инфо,Россия,Череповец,0
18501,18501.21517,12595,,Телефон,Первая Линия,Путешествия,Маршрут,Базовый,20.09.2024 16:15,Инфо,Россия,Череповец,0
18505,18505.21520,12595,,Телефон,Первая Линия,Путешествия,Авиа,Базовый,20.09.2024 16:34,"Инфо, Подборка",Россия,Череповец,0
18581,18581.21606,12595,,Телефон,Путешествия,Путешествия,Авиа,Базовый,20.09.2024 22:10,Бронирование/покупка,Россия,Череповец,0
18581,18581.21616,12595,,Телефон,Путешествия,Путешествия,Поезда,Базовый,20.09.2024 22:37,Бронирование/покупка,Россия,Череповец,0
18581,18581.21617,12595,,Телефон,Путешествия,Путешествия,Регистрация на рейс,Базовый,20.09.2024 22:41,Бронирование/покупка,Россия,Череповец,0
24130,24130.27787,12595,,Мессенджер,Первая Линия,Информационная поддержка,Информационный запрос,Базовый,20.10.2024 17:15,Инфо,Россия,Череповец,0
25836,25836.29738,12595,,Мессенджер,Путешествия,Путешествия,Авиа,Базовый,29.10.2024 09:54,"Инфо, Подборка",Россия,Череповец,0
25836,25836.30264,12595,,Мессенджер,Путешествия,Размещение,Отели,Базовый,31.10.2024 12:25,"Инфо, Подборка",Россия,Череповец,0
25836,25836.30329,12595,,Мессенджер,Путешествия,Путешествия,Авиа,Базовый,31.10.2024 17:11,"Инфо, Подборка",Россия,Череповец,0
25836,25836.30584,12595,,Мессенджер,Путешествия,Путешествия,Регистрация на рейс,Базовый,01.11.2024 15:03,Бронирование/покупка,Россия,Череповец,0
5502,5502.7223,12594,Не указан,Мессенджер,Путешествия,Информационная поддержка,Информационный запрос,Базовый,09.07.2024 20:28,Инфо,Не указан,Не указан,0
18502,18502.21518,12594,,Мессенджер,Первая Линия,Информационная поддержка,Редирект,Базовый,20.09.2024 16:18,Инфо,Не указан,Не указан,0
4193,4193.5734,12593,,Мессенджер,Путешествия,Путешествия,Трансфер,VIP,24.06.2024 15:18,Бронирование/покупка,Россия,Челябинск,0
4943,4943.6617,12593,Женский,Мессенджер,Путешествия,Путешествия,ВИП обслуживание в аэропорту,VIP,05.07.2024 17:09,Инфо,Россия,Челябинск,0
4183,4183.5723,12592,,Мессенджер,Первая Линия,Информационная поддержка,Консьерж программа,,24.06.2024 14:22,Инфо,Россия,Москва,1
4171,4171.5713,12591,,Мессенджер,Лайфстайл,Мероприятия,Спорт мероприятия,,24.06.2024 12:36,Бронирование/покупка,Россия,Самара,0
4169,4169.5712,12589,,Мессенджер,Первая Линия,Информационная поддержка,Консьерж программа,VIP,24.06.2024 12:19,Инфо,Россия,Москва,1
4863,4863.6520,12589,Женский,Мессенджер,Путешествия,Путешествия,Авиа,VIP,04.07.2024 16:50,Инфо,Россия,Москва,0
30685,30685.35089,12588,,Мессенджер,Путешествия,Размещение,Отели,VIP,21.11.2024 17:49,Инфо,Россия,Чебоксары,0
30685,30685.35088,12588,,Мессенджер,Путешествия,Размещение,Отели,VIP,21.11.2024 17:48,Инфо,Россия,Чебоксары,0
20670,20670.23909,12588,,Мессенджер,Первая Линия,Информационная поддержка,Консьерж программа,VIP,02.10.2024 13:36,Инфо,Россия,Чебоксары,1
4167,4167.5710,12587,,Мессенджер,Первая Линия,Информационная поддержка,Консьерж программа,,24.06.2024 12:12,Инфо,Россия,Москва,1
4162,4162.5706,12586,,Чат,Первая Линия,Информационная поддержка,Консьерж программа,,24.06.2024 11:46,Инфо,Россия,Москва,1
4165,4165.5709,12586,,Мессенджер,Путешествия,Путешествия,Лодки без проживания,,24.06.2024 11:55,Подборка,Россия,Москва,0
4161,4161.5705,12585,,Мессенджер,Первая Линия,Информационная поддержка,Консьерж программа,,24.06.2024 11:46,Инфо,Россия,Москва,1
32140,32140.1,12584,,Мессенджер,Лайфстайл,Гастро,Ресторан,VIP,28.11.2024 11:58,Бронирование/покупка,Россия,Москва,0
21095,21095.24394,12584,,Мессенджер,Лайфстайл,Товары,Цветы,VIP,04.10.2024 18:54,"Подборка, Бронирование/покупка",Россия,Москва,0
15290,15290.17883,12584,,Мессенджер,Лайфстайл,Информационная поддержка,Информационный запрос,VIP,02.09.2024 19:32,Инфо,Россия,Москва,0
15051,15051.17633,12584,,Мессенджер,Первая Линия,Информационная поддержка,Предложения от КС,VIP,01.09.2024 12:19,Инфо,Россия,Москва,0
14851,14851.17420,12584,Женский,Мессенджер,Путешествия,Информационная поддержка,Информационный запрос,VIP,30.08.2024 22:16,Инфо,Россия,Москва,0
14851,14851.17421,12584,Женский,Мессенджер,Путешествия,Информационная поддержка,Информационный запрос,VIP,30.08.2024 22:16,Инфо,Россия,Москва,0
